date,price
2023-08-29,7370983.5
2023-08-30,7134023.5
2023-08-31,7184678.0
2023-09-01,7225418.0
2023-09-02,7231091.0
2023-09-03,7235933.5
2023-09-04,7239972.0
2023-09-05,7244019.0
2023-09-06,7248034.0
2023-09-07,7251850.5
2023-09-08,7255399.0
2023-09-09,7258679.5
2023-09-10,7261691.5
2023-09-11,7264469.0
2023-09-12,7267033.0
2023-09-13,7269417.5
2023-09-14,7271643.0
2023-09-15,7273737.5
2023-09-16,7275715.0
2023-09-17,7277595.5
2023-09-18,7279393.5
2023-09-19,7281129.0
2023-09-20,7282796.0
2023-09-21,7284421.0
2023-09-22,7286005.5
2023-09-23,7287548.0
2023-09-24,7289077.0
2023-09-25,7290579.0
2023-09-26,7292067.0
2023-09-27,7293548.5
2023-09-28,7295023.0
2023-09-29,7296498.0
2023-09-30,7297987.5
2023-10-01,7299484.0
2023-10-02,7300994.5
2023-10-03,7302526.5
2023-10-04,7304087.0
2023-10-05,7305682.0
2023-10-06,7307312.5
2023-10-07,7308985.5
2023-10-08,7310707.5
2023-10-09,7312485.5
2023-10-10,7314319.5
2023-10-11,7316224.0
2023-10-12,7318206.0
2023-10-13,7320265.0
2023-10-14,7322415.5
2023-10-15,7324657.5
2023-10-16,7326998.0
2023-10-17,7329451.0
2023-10-18,7332017.0
2023-10-19,7334709.5
2023-10-20,7337515.0
2023-10-21,7340440.5
2023-10-22,7343479.5
2023-10-23,7346645.5
2023-10-24,7349939.0
2023-10-25,7353360.5
2023-10-26,7356910.0
2023-10-27,7360594.5
2023-10-28,7364414.0
2023-10-29,7368376.0
2023-10-30,7372474.0
2023-10-31,7376729.0
2023-11-01,7381120.0
2023-11-02,7385669.0
2023-11-03,7390368.5
2023-11-04,7395219.0
2023-11-05,7400221.0
2023-11-06,7405381.5
2023-11-07,7410694.5
2023-11-08,7416166.5
2023-11-09,7421791.5
2023-11-10,7427562.5
2023-11-11,7433472.5
2023-11-12,7439507.5
2023-11-13,7445675.5
2023-11-14,7451969.5
2023-11-15,7458389.5
2023-11-16,7464915.0
2023-11-17,7471567.0
2023-11-18,7478325.0
2023-11-19,7485182.0
2023-11-20,7492145.5
2023-11-21,7499208.0
2023-11-22,7506363.0
2023-11-23,7513604.0
2023-11-24,7520923.5
2023-11-25,7528329.0
2023-11-26,7535807.0
