date,price
2023-08-29,10123318.0
2023-08-30,10208108.0
2023-08-31,10262869.0
2023-09-01,10281658.0
2023-09-02,10289211.0
2023-09-03,10294138.0
2023-09-04,10300286.0
2023-09-05,10308639.0
2023-09-06,10318809.0
2023-09-07,10330014.0
2023-09-08,10341468.0
2023-09-09,10352520.0
2023-09-10,10362773.0
2023-09-11,10372007.0
2023-09-12,10380121.0
2023-09-13,10387172.0
2023-09-14,10393256.0
2023-09-15,10398431.0
2023-09-16,10402855.0
2023-09-17,10406606.0
2023-09-18,10409802.0
2023-09-19,10412523.0
2023-09-20,10414866.0
2023-09-21,10416853.0
2023-09-22,10418602.0
2023-09-23,10420112.0
2023-09-24,10421464.0
2023-09-25,10422656.0
2023-09-26,10423730.0
2023-09-27,10424704.0
2023-09-28,10425619.0
2023-09-29,10426494.0
2023-09-30,10427309.0
2023-10-01,10428125.0
2023-10-02,10428900.0
2023-10-03,10429696.0
2023-10-04,10430512.0
2023-10-05,10431328.0
2023-10-06,10432183.0
2023-10-07,10433079.0
2023-10-08,10434034.0
2023-10-09,10435029.0
2023-10-10,10436104.0
2023-10-11,10437258.0
2023-10-12,10438493.0
2023-10-13,10439827.0
2023-10-14,10441260.0
2023-10-15,10442814.0
2023-10-16,10444487.0
2023-10-17,10446300.0
2023-10-18,10448253.0
2023-10-19,10450366.0
2023-10-20,10452618.0
2023-10-21,10455031.0
2023-10-22,10457584.0
2023-10-23,10460317.0
2023-10-24,10463190.0
2023-10-25,10466244.0
2023-10-26,10469458.0
2023-10-27,10472854.0
2023-10-28,10476410.0
2023-10-29,10480167.0
2023-10-30,10484106.0
2023-10-31,10488226.0
2023-11-01,10492528.0
2023-11-02,10497032.0
2023-11-03,10501738.0
2023-11-04,10506626.0
2023-11-05,10511738.0
2023-11-06,10517012.0
2023-11-07,10522510.0
2023-11-08,10528211.0
2023-11-09,10534097.0
2023-11-10,10540186.0
2023-11-11,10546441.0
2023-11-12,10552859.0
2023-11-13,10559464.0
2023-11-14,10566213.0
2023-11-15,10573148.0
2023-11-16,10580209.0
2023-11-17,10587436.0
2023-11-18,10594809.0
2023-11-19,10602329.0
2023-11-20,10609976.0
2023-11-21,10617770.0
2023-11-22,10625671.0
2023-11-23,10633720.0
2023-11-24,10641856.0
2023-11-25,10650121.0
2023-11-26,10658493.0
