date,price,percentage
08-27,76119090.0,0.0
08-28,76291450.0,-1.367764887832923
08-29,76373670.0,-0.22700394307040295
08-30,76414150.0,0.025822537324682315
08-31,76440540.0,0.08710144715311507
09-01,76463220.0,0.09599373155242397
09-02,76485570.0,0.09184148262957326
09-03,76508510.0,0.08396880092551573
09-04,76532104.0,0.07481949695034018
09-05,76556180.0,0.0655294901605874
09-06,76580550.0,0.056879153115829695
09-07,76605040.0,0.04934994260035186
09-08,76629520.0,0.042937530879028074
09-09,76653880.0,0.037961717130508
09-10,76678060.0,0.034176819390463464
09-11,76702000.0,0.03152669996488999
09-12,76725680.0,0.02987498529800625
09-13,76749060.0,0.028789808300233588
09-14,76772120.0,0.02870082629866655
09-15,76794840.0,0.02893460939621395
09-16,76817240.0,0.029705850251326993
09-17,76839300.0,0.030745158914036175
09-18,76861016.0,0.032105919982372555
09-19,76882400.0,0.03362653595648801
09-20,76903464.0,0.03519933671669584
09-21,76924190.0,0.03706573571995442
09-22,76944590.0,0.03882277123219424
09-23,76964670.0,0.04079234230380813
09-24,76984450.0,0.042598686062422786
09-25,77003920.0,0.0444295452724397
09-26,77023096.0,0.04623120584965612
09-27,77041980.0,0.047923301299679366
09-28,77060580.0,0.04966650387685512
09-29,77078900.0,0.05132688970015398
09-30,77096930.0,0.05282433769080441
10-01,77114700.0,0.05439957933841555
10-02,77132220.0,0.05570521845204013
10-03,77149480.0,0.05703536726560099
10-04,77166500.0,0.058309893343033714
10-05,77183260.0,0.05958218889765554
10-06,77199780.0,0.060585779766153536
10-07,77216060.0,0.06158753657841132
10-08,77232130.0,0.06256082117264139
10-09,77247960.0,0.06350567269475249
10-10,77263580.0,0.06426267221093518
10-11,77278980.0,0.06501819340787307
10-12,77294160.0,0.06566605123543567
10-13,77309150.0,0.06633913542148928
10-14,77323920.0,0.06698434973093637
10-15,77338500.0,0.06749579475768819
10-16,77352880.0,0.06790029007850418
10-17,77367064.0,0.06835684069708137
10-18,77381060.0,0.06875955489489272
10-19,77394880.0,0.06916140867365694
10-20,77408500.0,0.06948320021880061
10-21,77421950.0,0.0698834326404496
10-22,77435224.0,0.06994008035858812
10-23,77448330.0,0.0703653942411453
10-24,77461260.0,0.07050019599474933
10-25,77474020.0,0.07068729251884509
10-26,77486620.0,0.070873957921469
10-27,77499064.0,0.07103392185008328
10-28,77511330.0,0.07119350984003958
10-29,77523460.0,0.07145765215967881
10-30,77535420.0,0.07140662666078601
10-31,77547250.0,0.0716176257945067
11-01,77558910.0,0.07159254809265825
11-02,77570450.0,0.07177674919860433
11-03,77581816.0,0.07182982291649154
11-04,77593060.0,0.07193498581805624
11-05,77604150.0,0.07196158081608228
11-06,77615120.0,0.07209241183026016
11-07,77625944.0,0.0721447315058743
11-08,77636640.0,0.07211876546424634
11-09,77647200.0,0.07227500208861759
11-10,77657640.0,0.07227481803859792
11-11,77667950.0,0.07232657410354282
11-12,77678130.0,0.0723781802769885
11-13,77688200.0,0.07237773443937723
11-14,77698136.0,0.07248098119798652
11-15,77707970.0,0.0725321386822797
11-16,77717680.0,0.07260904174191118
11-17,77727260.0,0.07258223528443519
11-18,77736750.0,0.07265887794523085
11-19,77746104.0,0.07268363858481397
11-20,77755370.0,0.07270830697572173
11-21,77764520.0,0.07273288326152816
11-22,77773570.0,0.07280893198526872
11-23,77782500.0,0.07283324947333636
11-24,77791340.0,0.07288322002236836
