date,price,percentage
08-27,7492662.0,0.0
08-28,7390180.0,-1.367764887832923
08-29,7373404.0,-0.22700394307040295
08-30,7375308.0,0.025822537324682315
08-31,7381732.0,0.08710144715311507
09-01,7388818.0,0.09599373155242397
09-02,7395604.0,0.09184148262957326
09-03,7401814.0,0.08396880092551573
09-04,7407352.0,0.07481949695034018
09-05,7412206.0,0.0655294901605874
09-06,7416422.0,0.056879153115829695
09-07,7420082.0,0.04934994260035186
09-08,7423268.0,0.042937530879028074
09-09,7426086.0,0.037961717130508
09-10,7428624.0,0.034176819390463464
09-11,7430966.0,0.03152669996488999
09-12,7433186.0,0.02987498529800625
09-13,7435326.0,0.028789808300233588
09-14,7437460.0,0.02870082629866655
09-15,7439612.0,0.02893460939621395
09-16,7441822.0,0.029705850251326993
09-17,7444110.0,0.030745158914036175
09-18,7446500.0,0.032105919982372555
09-19,7449004.0,0.03362653595648801
09-20,7451626.0,0.03519933671669584
09-21,7454388.0,0.03706573571995442
09-22,7457282.0,0.03882277123219424
09-23,7460324.0,0.04079234230380813
09-24,7463502.0,0.042598686062422786
09-25,7466818.0,0.0444295452724397
09-26,7470270.0,0.04623120584965612
09-27,7473850.0,0.047923301299679366
09-28,7477562.0,0.04966650387685512
09-29,7481400.0,0.05132688970015398
09-30,7485352.0,0.05282433769080441
10-01,7489424.0,0.05439957933841555
10-02,7493596.0,0.05570521845204013
10-03,7497870.0,0.05703536726560099
10-04,7502242.0,0.058309893343033714
10-05,7506712.0,0.05958218889765554
10-06,7511260.0,0.060585779766153536
10-07,7515886.0,0.06158753657841132
10-08,7520588.0,0.06256082117264139
10-09,7525364.0,0.06350567269475249
10-10,7530200.0,0.06426267221093518
10-11,7535096.0,0.06501819340787307
10-12,7540044.0,0.06566605123543567
10-13,7545046.0,0.06633913542148928
10-14,7550100.0,0.06698434973093637
10-15,7555196.0,0.06749579475768819
10-16,7560326.0,0.06790029007850418
10-17,7565494.0,0.06835684069708137
10-18,7570696.0,0.06875955489489272
10-19,7575932.0,0.06916140867365694
10-20,7581196.0,0.06948320021880061
10-21,7586494.0,0.0698834326404496
10-22,7591800.0,0.06994008035858812
10-23,7597142.0,0.0703653942411453
10-24,7602498.0,0.07050019599474933
10-25,7607872.0,0.07068729251884509
10-26,7613264.0,0.070873957921469
10-27,7618672.0,0.07103392185008328
10-28,7624096.0,0.07119350984003958
10-29,7629544.0,0.07145765215967881
10-30,7634992.0,0.07140662666078601
10-31,7640460.0,0.0716176257945067
11-01,7645930.0,0.07159254809265825
11-02,7651418.0,0.07177674919860433
11-03,7656914.0,0.07182982291649154
11-04,7662422.0,0.07193498581805624
11-05,7667936.0,0.07196158081608228
11-06,7673464.0,0.07209241183026016
11-07,7679000.0,0.0721447315058743
11-08,7684538.0,0.07211876546424634
11-09,7690092.0,0.07227500208861759
11-10,7695650.0,0.07227481803859792
11-11,7701216.0,0.07232657410354282
11-12,7706790.0,0.0723781802769885
11-13,7712368.0,0.07237773443937723
11-14,7717958.0,0.07248098119798652
11-15,7723556.0,0.0725321386822797
11-16,7729164.0,0.07260904174191118
11-17,7734774.0,0.07258223528443519
11-18,7740394.0,0.07265887794523085
11-19,7746020.0,0.07268363858481397
11-20,7751652.0,0.07270830697572173
11-21,7757290.0,0.07273288326152816
11-22,7762938.0,0.07280893198526872
11-23,7768592.0,0.07283324947333636
11-24,7774254.0,0.07288322002236836
