date,price,percentage
08-27,27356206.0,0.0
08-28,27083214.0,-1.367764887832923
08-29,26997472.0,-0.22700394307040295
08-30,26972122.0,0.025822537324682315
08-31,26966026.0,0.08710144715311507
09-01,26966606.0,0.09599373155242397
09-02,26969802.0,0.09184148262957326
09-03,26974108.0,0.08396880092551573
09-04,26978896.0,0.07481949695034018
09-05,26983900.0,0.0655294901605874
09-06,26988990.0,0.056879153115829695
09-07,26994144.0,0.04934994260035186
09-08,26999322.0,0.042937530879028074
09-09,27004538.0,0.037961717130508
09-10,27009804.0,0.034176819390463464
09-11,27015146.0,0.03152669996488999
09-12,27020580.0,0.02987498529800625
09-13,27026132.0,0.028789808300233588
09-14,27031808.0,0.02870082629866655
09-15,27037630.0,0.02893460939621395
09-16,27043600.0,0.029705850251326993
09-17,27049734.0,0.030745158914036175
09-18,27056028.0,0.032105919982372555
09-19,27062492.0,0.03362653595648801
09-20,27069128.0,0.03519933671669584
09-21,27075936.0,0.03706573571995442
09-22,27082910.0,0.03882277123219424
09-23,27090052.0,0.04079234230380813
09-24,27097358.0,0.042598686062422786
09-25,27104824.0,0.0444295452724397
09-26,27112450.0,0.04623120584965612
09-27,27120218.0,0.047923301299679366
09-28,27128134.0,0.04966650387685512
09-29,27136188.0,0.05132688970015398
09-30,27144374.0,0.05282433769080441
10-01,27152686.0,0.05439957933841555
10-02,27161116.0,0.05570521845204013
10-03,27169656.0,0.05703536726560099
10-04,27178304.0,0.058309893343033714
10-05,27187048.0,0.05958218889765554
10-06,27195888.0,0.060585779766153536
10-07,27204814.0,0.06158753657841132
10-08,27213822.0,0.06256082117264139
10-09,27222906.0,0.06350567269475249
10-10,27232060.0,0.06426267221093518
10-11,27241274.0,0.06501819340787307
10-12,27250552.0,0.06566605123543567
10-13,27259882.0,0.06633913542148928
10-14,27269264.0,0.06698434973093637
10-15,27278686.0,0.06749579475768819
10-16,27288158.0,0.06790029007850418
10-17,27297664.0,0.06835684069708137
10-18,27307204.0,0.06875955489489272
10-19,27316780.0,0.06916140867365694
10-20,27326378.0,0.06948320021880061
10-21,27336006.0,0.0698834326404496
10-22,27345658.0,0.06994008035858812
10-23,27355324.0,0.0703653942411453
10-24,27365016.0,0.07050019599474933
10-25,27374720.0,0.07068729251884509
10-26,27384438.0,0.070873957921469
10-27,27394174.0,0.07103392185008328
10-28,27403918.0,0.07119350984003958
10-29,27413670.0,0.07145765215967881
10-30,27423438.0,0.07140662666078601
10-31,27433208.0,0.0716176257945067
11-01,27442986.0,0.07159254809265825
11-02,27452772.0,0.07177674919860433
11-03,27462562.0,0.07182982291649154
11-04,27472356.0,0.07193498581805624
11-05,27482152.0,0.07196158081608228
11-06,27491958.0,0.07209241183026016
11-07,27501764.0,0.0721447315058743
11-08,27511572.0,0.07211876546424634
11-09,27521378.0,0.07227500208861759
11-10,27531192.0,0.07227481803859792
11-11,27541006.0,0.07232657410354282
11-12,27550818.0,0.0723781802769885
11-13,27560632.0,0.07237773443937723
11-14,27570452.0,0.07248098119798652
11-15,27580264.0,0.0725321386822797
11-16,27590078.0,0.07260904174191118
11-17,27599898.0,0.07258223528443519
11-18,27609714.0,0.07265887794523085
11-19,27619532.0,0.07268363858481397
11-20,27629348.0,0.07270830697572173
11-21,27639160.0,0.07273288326152816
11-22,27648978.0,0.07280893198526872
11-23,27658790.0,0.07283324947333636
11-24,27668606.0,0.07288322002236836
