date,price,percentage
08-27,17018546.0,0.0
08-28,16853406.0,-1.367764887832923
08-29,16819026.0,-0.22700394307040295
08-30,16817720.0,0.025822537324682315
08-31,16824668.0,0.08710144715311507
09-01,16833330.0,0.09599373155242397
09-02,16842020.0,0.09184148262957326
09-03,16850252.0,0.08396880092551573
09-04,16857864.0,0.07481949695034018
09-05,16864844.0,0.0655294901605874
09-06,16871244.0,0.056879153115829695
09-07,16877148.0,0.04934994260035186
09-08,16882624.0,0.042937530879028074
09-09,16887768.0,0.037961717130508
09-10,16892660.0,0.034176819390463464
09-11,16897368.0,0.03152669996488999
09-12,16901960.0,0.02987498529800625
09-13,16906478.0,0.028789808300233588
09-14,16910978.0,0.02870082629866655
09-15,16915486.0,0.02893460939621395
09-16,16920036.0,0.029705850251326993
09-17,16924648.0,0.030745158914036175
09-18,16929338.0,0.032105919982372555
09-19,16934128.0,0.03362653595648801
09-20,16939020.0,0.03519933671669584
09-21,16944024.0,0.03706573571995442
09-22,16949146.0,0.03882277123219424
09-23,16954384.0,0.04079234230380813
09-24,16959748.0,0.042598686062422786
09-25,16965228.0,0.0444295452724397
09-26,16970828.0,0.04623120584965612
09-27,16976546.0,0.047923301299679366
09-28,16982376.0,0.04966650387685512
09-29,16988312.0,0.05132688970015398
09-30,16994352.0,0.05282433769080441
10-01,17000500.0,0.05439957933841555
10-02,17006736.0,0.05570521845204013
10-03,17013066.0,0.05703536726560099
10-04,17019480.0,0.058309893343033714
10-05,17025976.0,0.05958218889765554
10-06,17032548.0,0.060585779766153536
10-07,17039192.0,0.06158753657841132
10-08,17045896.0,0.06256082117264139
10-09,17052668.0,0.06350567269475249
10-10,17059490.0,0.06426267221093518
10-11,17066368.0,0.06501819340787307
10-12,17073302.0,0.06566605123543567
10-13,17080272.0,0.06633913542148928
10-14,17087288.0,0.06698434973093637
10-15,17094342.0,0.06749579475768819
10-16,17101424.0,0.06790029007850418
10-17,17108542.0,0.06835684069708137
10-18,17115686.0,0.06875955489489272
10-19,17122864.0,0.06916140867365694
10-20,17130062.0,0.06948320021880061
10-21,17137280.0,0.0698834326404496
10-22,17144524.0,0.06994008035858812
10-23,17151780.0,0.0703653942411453
10-24,17159052.0,0.07050019599474933
10-25,17166340.0,0.07068729251884509
10-26,17173644.0,0.070873957921469
10-27,17180960.0,0.07103392185008328
10-28,17188286.0,0.07119350984003958
10-29,17195628.0,0.07145765215967881
10-30,17202970.0,0.07140662666078601
10-31,17210328.0,0.0716176257945067
11-01,17217690.0,0.07159254809265825
11-02,17225060.0,0.07177674919860433
11-03,17232436.0,0.07182982291649154
11-04,17239820.0,0.07193498581805624
11-05,17247216.0,0.07196158081608228
11-06,17254608.0,0.07209241183026016
11-07,17262008.0,0.0721447315058743
11-08,17269416.0,0.07211876546424634
11-09,17276828.0,0.07227500208861759
11-10,17284244.0,0.07227481803859792
11-11,17291666.0,0.07232657410354282
11-12,17299092.0,0.0723781802769885
11-13,17306522.0,0.07237773443937723
11-14,17313960.0,0.07248098119798652
11-15,17321396.0,0.0725321386822797
11-16,17328836.0,0.07260904174191118
11-17,17336288.0,0.07258223528443519
11-18,17343740.0,0.07265887794523085
11-19,17351192.0,0.07268363858481397
11-20,17358652.0,0.07270830697572173
11-21,17366116.0,0.07273288326152816
11-22,17373584.0,0.07280893198526872
11-23,17381056.0,0.07283324947333636
11-24,17388528.0,0.07288322002236836
