date,price,percentage
08-27,12494107.0,0.0
08-28,12340690.0,-1.367764887832923
08-29,12308477.0,-0.22700394307040295
08-30,12307488.0,0.025822537324682315
08-31,12314730.0,0.08710144715311507
09-01,12324073.0,0.09599373155242397
09-02,12333784.0,0.09184148262957326
09-03,12343238.0,0.08396880092551573
09-04,12352165.0,0.07481949695034018
09-05,12360482.0,0.0655294901605874
09-06,12368188.0,0.056879153115829695
09-07,12375329.0,0.04934994260035186
09-08,12381986.0,0.042937530879028074
09-09,12388239.0,0.037961717130508
09-10,12394172.0,0.034176819390463464
09-11,12399859.0,0.03152669996488999
09-12,12405369.0,0.02987498529800625
09-13,12410751.0,0.028789808300233588
09-14,12416058.0,0.02870082629866655
09-15,12421331.0,0.02893460939621395
09-16,12426595.0,0.029705850251326993
09-17,12431883.0,0.030745158914036175
09-18,12437205.0,0.032105919982372555
09-19,12442587.0,0.03362653595648801
09-20,12448034.0,0.03519933671669584
09-21,12453561.0,0.03706573571995442
09-22,12459169.0,0.03882277123219424
09-23,12464863.0,0.04079234230380813
09-24,12470646.0,0.042598686062422786
09-25,12476517.0,0.0444295452724397
09-26,12482475.0,0.04623120584965612
09-27,12488524.0,0.047923301299679366
09-28,12494655.0,0.04966650387685512
09-29,12500867.0,0.05132688970015398
09-30,12507161.0,0.05282433769080441
10-01,12513529.0,0.05439957933841555
10-02,12519967.0,0.05570521845204013
10-03,12526471.0,0.05703536726560099
10-04,12533038.0,0.058309893343033714
10-05,12539664.0,0.05958218889765554
10-06,12546350.0,0.060585779766153536
10-07,12553079.0,0.06158753657841132
10-08,12559857.0,0.06256082117264139
10-09,12566678.0,0.06350567269475249
10-10,12573536.0,0.06426267221093518
10-11,12580433.0,0.06501819340787307
10-12,12587361.0,0.06566605123543567
10-13,12594316.0,0.06633913542148928
10-14,12601296.0,0.06698434973093637
10-15,12608300.0,0.06749579475768819
10-16,12615324.0,0.06790029007850418
10-17,12622370.0,0.06835684069708137
10-18,12629422.0,0.06875955489489272
10-19,12636497.0,0.06916140867365694
10-20,12643579.0,0.06948320021880061
10-21,12650671.0,0.0698834326404496
10-22,12657776.0,0.06994008035858812
10-23,12664880.0,0.0703653942411453
10-24,12671993.0,0.07050019599474933
10-25,12679107.0,0.07068729251884509
10-26,12686225.0,0.070873957921469
10-27,12693345.0,0.07103392185008328
10-28,12700470.0,0.07119350984003958
10-29,12707595.0,0.07145765215967881
10-30,12714716.0,0.07140662666078601
10-31,12721838.0,0.0716176257945067
11-01,12728961.0,0.07159254809265825
11-02,12736084.0,0.07177674919860433
11-03,12743199.0,0.07182982291649154
11-04,12750314.0,0.07193498581805624
11-05,12757428.0,0.07196158081608228
11-06,12764536.0,0.07209241183026016
11-07,12771646.0,0.0721447315058743
11-08,12778753.0,0.07211876546424634
11-09,12785855.0,0.07227500208861759
11-10,12792956.0,0.07227481803859792
11-11,12800050.0,0.07232657410354282
11-12,12807143.0,0.0723781802769885
11-13,12814234.0,0.07237773443937723
11-14,12821322.0,0.07248098119798652
11-15,12828404.0,0.0725321386822797
11-16,12835486.0,0.07260904174191118
11-17,12842565.0,0.07258223528443519
11-18,12849643.0,0.07265887794523085
11-19,12856717.0,0.07268363858481397
11-20,12863784.0,0.07270830697572173
11-21,12870853.0,0.07273288326152816
11-22,12877919.0,0.07280893198526872
11-23,12884984.0,0.07283324947333636
11-24,12892046.0,0.07288322002236836
